Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
GM,AA12,39.53523,-121.4669,385.0,GM.AA12,2017-04-20T17:00:00,2018-06-27T21:30:00
GM,LGO,40.41862,-120.80602,1606.0,Goat Mountain,2019-07-10T00:00:00,2599-12-31T23:59:59
GM,LST1,41.471331,-122.304108,1335.0,Shastina,2022-06-06T00:00:00,2022-10-24T18:02:00
GM,LST2,41.462034,-122.217914,2180.0,North Gate,2022-06-06T00:00:00,2022-10-24T23:59:00
GM,LST3,41.334475,-122.105693,1537.0,Mud Low,2022-06-06T00:00:00,2022-10-24T20:31:00
GM,LST4,41.375903,-122.125359,2056.0,Mud High,2022-06-06T00:00:00,2022-10-24T18:15:00
GM,LST5,41.386588,-122.192659,3386.0,Shastarama,2022-06-06T00:00:00,2599-12-31T23:59:59
GM,LST6,41.48926,-122.24058,1587.59,Bolam Infrasound,2022-06-29T00:00:00,2022-10-25T23:59:00
GM,LST5,41.386588,-122.192659,3386.0,Shastarama,2599-12-31T23:59:59,3000-01-01T00:00:00
