Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
XS,357,40.696069,-122.850353,534.7,Converted from UTM Zone 10,2015-04-27T16:56:12,2015-05-13T07:37:03
XS,358,40.696032,-122.849903,535.2,Converted from UTM Zone 10,2015-04-27T16:57:11,2015-05-11T15:52:15
XS,359,40.695996,-122.849492,537.3,Converted from UTM Zone 10,2015-04-27T16:59:27,2015-05-11T22:02:55
XS,360,40.696004,-122.849146,534.0,Converted from UTM Zone 10,2015-04-27T17:00:32,2015-05-13T03:40:39
XS,361,40.696284,-122.85256,530.7,Converted from UTM Zone 10,2015-04-27T16:32:43,2015-05-12T08:55:37
XS,362,40.696086,-122.852792,531.4,Converted from UTM Zone 10,2015-04-27T16:33:58,2015-05-11T14:40:08
XS,363,40.696058,-122.852535,534.1,Converted from UTM Zone 10,2015-04-27T16:35:47,2015-05-12T15:48:18
XS,364,40.695743,-122.85255,533.3,Converted from UTM Zone 10,2015-04-27T17:09:53,2015-05-11T11:37:04
XS,365,40.695638,-122.851702,533.2,Converted from UTM Zone 10,2015-04-27T17:08:17,2015-05-12T17:14:54
XS,366,40.695475,-122.85099,534.6,Converted from UTM Zone 10,2015-04-27T17:06:44,2015-05-12T04:46:48
XS,367,40.695402,-122.850405,534.3,Converted from UTM Zone 10,2015-04-27T17:05:45,2015-05-12T01:04:15
XS,368,40.695325,-122.849912,534.8,Converted from UTM Zone 10,2015-04-27T17:04:51,2015-05-13T13:18:54
XS,369,40.695289,-122.849419,535.0,Converted from UTM Zone 10,2015-04-27T17:02:53,2015-05-12T05:30:19
XS,370,40.695504,-122.852628,532.9,Converted from UTM Zone 10,2015-04-27T17:12:39,2015-05-12T18:49:53
XS,371,40.695311,-122.852821,532.5,Converted from UTM Zone 10,2015-04-27T17:14:09,2015-05-11T11:29:11
XS,372,40.695108,-122.852753,532.3,Converted from UTM Zone 10,2015-04-27T17:15:21,2015-05-12T20:17:29
XS,373,40.695014,-122.853043,532.6,Converted from UTM Zone 10,2015-04-27T17:16:41,2015-05-12T22:11:57
XS,374,40.694857,-122.853221,532.8,Converted from UTM Zone 10,2015-04-27T17:17:48,2015-05-13T07:17:42
XS,375,40.694622,-122.853268,532.9,Converted from UTM Zone 10,2015-04-27T17:18:45,2015-05-12T06:01:20
XS,376,40.694537,-122.853675,532.8,Converted from UTM Zone 10,2015-04-27T17:19:55,2015-05-10T11:49:59
XS,377,40.694276,-122.853951,532.4,Converted from UTM Zone 10,2015-04-27T17:21:55,2015-05-10T12:09:46
XS,378,40.694024,-122.854062,532.1,Converted from UTM Zone 10,2015-04-27T17:23:16,2015-05-11T18:18:38
XS,379,40.693908,-122.854585,532.0,Converted from UTM Zone 10,2015-04-27T17:25:38,2015-05-11T19:15:55
XS,380,40.69379,-122.854364,531.0,Converted from UTM Zone 10,2015-04-27T17:24:21,2015-05-13T09:35:23
