#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CE|79036|10|HNE|39.807|-123.2464|425.0|0.0|90.0|0.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|100.0|2017-01-13T00:00:00|3000-01-01T00:00:00
CE|79036||HNN|39.807|-123.2464|425.0|0.0|360.0|0.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|200.0|2017-01-13T00:00:00|3000-01-01T00:00:00
CE|79036|10|HNN|39.807|-123.2464|425.0|0.0|360.0|0.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|100.0|2017-01-13T00:00:00|3000-01-01T00:00:00
CE|79036||HNZ|39.807|-123.2464|425.0|0.0|0.0|-90.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|200.0|2017-01-13T00:00:00|3000-01-01T00:00:00
CE|79036|10|HNZ|39.807|-123.2464|425.0|0.0|0.0|-90.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|100.0|2017-01-13T00:00:00|3000-01-01T00:00:00
CE|79435||HNE|39.9233|-123.7614|245.0|0.0|270.0|0.0|Kinemetrics_Episensor|214581.0|1.0|M/S**2|200.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|79435|10|HNE|39.9233|-123.7614|245.0|0.0|270.0|0.0|Kinemetrics_Episensor|214581.0|1.0|M/S**2|100.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|79435||HNN|39.9233|-123.7614|245.0|0.0|360.0|0.0|Kinemetrics_Episensor|214077.0|1.0|M/S**2|200.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|79435|10|HNN|39.9233|-123.7614|245.0|0.0|360.0|0.0|Kinemetrics_Episensor|214077.0|1.0|M/S**2|100.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|79435||HNZ|39.9233|-123.7614|245.0|0.0|0.0|-90.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|200.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|79435|10|HNZ|39.9233|-123.7614|245.0|0.0|0.0|-90.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|100.0|2018-07-25T00:00:00|3000-01-01T00:00:00
CE|89005||HNE|40.3481|-124.3532|76.0|0.0|90.0|0.0|STMicroelectronics_LIS344ALH|435.342|1.0|M/S**2|200.0|2017-01-12T00:00:00|3000-01-01T00:00:00
CE|89005||HNN|40.3481|-124.3532|76.0|0.0|360.0|0.0|STMicroelectronics_LIS344ALH|437.683|1.0|M/S**2|200.0|2017-01-12T00:00:00|3000-01-01T00:00:00
CE|89005||HNZ|40.3481|-124.3532|76.0|0.0|0.0|-90.0|STMicroelectronics_LIS344ALH|433.002|1.0|M/S**2|200.0|2017-01-12T00:00:00|3000-01-01T00:00:00
CE|89101||HNE|40.325|-124.2877|37.0|0.0|90.0|0.0|Kinemetrics_Episensor|214413.0|1.0|M/S**2|200.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89101|10|HNE|40.325|-124.2877|37.0|0.0|90.0|0.0|Kinemetrics_Episensor|214413.0|1.0|M/S**2|100.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89101||HNN|40.325|-124.2877|37.0|0.0|360.0|0.0|Kinemetrics_Episensor|214077.0|1.0|M/S**2|200.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89101|10|HNN|40.325|-124.2877|37.0|0.0|360.0|0.0|Kinemetrics_Episensor|214077.0|1.0|M/S**2|100.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89101||HNZ|40.325|-124.2877|37.0|0.0|0.0|-90.0|Kinemetrics_Episensor|214916.0|1.0|M/S**2|200.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89101|10|HNZ|40.325|-124.2877|37.0|0.0|0.0|-90.0|Kinemetrics_Episensor|214916.0|1.0|M/S**2|100.0|2017-01-11T00:00:00|3000-01-01T00:00:00
CE|89146||HNE|40.9406|-123.6327|180.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214751.0|1.0|M/S**2|200.0|2005-08-10T00:00:00|2021-05-03T00:00:00
CE|89146||HNN|40.9406|-123.6327|180.0|0.0|360.0|0.0|Kinemetrics_FBA-11|215086.0|1.0|M/S**2|200.0|2005-08-10T00:00:00|2021-05-03T00:00:00
